txn_id,timestamp,src,dst,amount,channel,src_country,dst_country
T0003285,2025-01-06 02:03:00.000000000,ACC00163,ACC00237,1350.9,WIRE,CA,SG
T0001154,2025-01-06 02:43:00.000000000,ACC00215,ACC00084,365.21,ACH,US,DE
T0001556,2025-01-06 03:21:00.000000000,ACC00163,ACC00113,770.59,WIRE,CA,GB
T0001077,2025-01-06 04:02:00.000000000,ACC00150,ACC00075,823.77,ACH,CA,US
T0001948,2025-01-06 04:04:00.000000000,ACC00230,ACC00139,1214.56,ACH,US,IN
T0000495,2025-01-06 05:17:00.000000000,ACC00035,ACC00233,570.59,WIRE,DE,DE
T0003334,2025-01-06 06:20:00.000000000,ACC00143,ACC00243,218.28,CARD,US,IN
T0003742,2025-01-06 06:22:00.000000000,ACC00275,ACC00131,1220.28,CARD,IN,US
T0003741,2025-01-06 06:33:00.000000000,ACC00275,ACC00205,3882.86,CRYPTO,IN,AU
T0000238,2025-01-06 06:34:00.000000000,ACC00266,ACC00015,541.07,ACH,CA,IN
T0003362,2025-01-06 06:44:00.000000000,ACC00245,ACC00193,762.44,CARD,DE,AU
T0001670,2025-01-06 07:10:00.000000000,ACC00120,ACC00276,184.22,WIRE,DE,AU
T0001467,2025-01-06 07:16:00.000000000,ACC00077,ACC00106,466.91,WIRE,CA,DE
T0000750,2025-01-06 07:21:00.000000000,ACC00054,ACC00268,617.89,CASH,SG,SG
T0001870,2025-01-06 07:35:00.000000000,ACC00134,ACC00212,1434.97,CARD,IN,IN
T0002744,2025-01-06 07:53:00.000000000,ACC00028,ACC00198,267.91,CASH,AU,DE
T0003692,2025-01-06 07:58:00.000000000,ACC00270,ACC00143,723.61,WIRE,GB,US
T0003707,2025-01-06 08:18:00.000000000,ACC00271,ACC00135,1820.78,WIRE,CA,SG
T0003615,2025-01-06 08:20:00.000000000,ACC00195,ACC00261,355.65,ACH,CA,CA
T0001387,2025-01-06 08:47:00.000000000,ACC00078,ACC00101,278.83,WIRE,CA,DE
T0000783,2025-01-06 08:55:00.000000000,ACC00056,ACC00016,138.87,ACH,CA,AU
T0001628,2025-01-06 08:56:00.000000000,ACC00117,ACC00259,921.63,CARD,IN,GB
T0004086,2025-01-06 09:00:00.000000000,ACC00035,ACC00012,60838.82,WIRE,DE,DE
T0002352,2025-01-06 09:08:00.000000000,ACC00169,ACC00031,628.64,ACH,DE,AU
T0001410,2025-01-06 09:16:00.000000000,ACC00019,ACC00102,276.62,WIRE,SG,AU
T0003596,2025-01-06 09:16:00.000000000,ACC00063,ACC00260,959.73,WIRE,US,IN
T0003277,2025-01-06 09:27:00.000000000,ACC00134,ACC00236,125.39,WIRE,IN,US
T0000625,2025-01-06 09:32:00.000000000,ACC00044,ACC00228,1067.46,CARD,GB,GB
T0000114,2025-01-06 09:34:00.000000000,ACC00007,ACC00224,503.58,WIRE,IN,AU
